project,tag,n_samples,route_a_name_pattern,route_b_condition_match,route_c_value_vocab,route_reviewed_ground_truth,top_values
PRJDB10485,ART_status_at_baseline,109,True,False,False,False,"{""control"": 55, ""art"": 51, ""naive"": 3}"
PRJDB10485,Marital_status,107,True,False,False,False,"{""married"": 42, ""single"": 41, ""widowed"": 15, ""divorced"": 9}"
PRJDB10485,host_disease,109,True,False,True,False,"{""hiv-1 negative"": 55, ""hiv-1 positive"": 54}"
PRJDB5678,host_disease,52,True,False,False,False,"{""hyperlipidemia"": 15, ""hypertension"": 13, ""gout"": 9, ""hypertension, prostatic hypertrophy"": 6, ""schizophrenia"": 3}"
PRJDB8027,gastrointest_disord,73,True,False,False,False,"{""missing"": 65, ""cholecystectomy"": 4, ""appendectomy"": 2, ""right hemicolectomy"": 1, ""distal gastrectomy"": 1}"
PRJEB11419,acid_reflux,4840,False,False,True,False,"{""i do not have this condition"": 3635, ""diagnosed by a medical professional (doctor, physician assistant)"": 748, ""unspecified"": 218, ""self-diagnosed"": 204, ""not provided"": 19}"
PRJEB11419,add_adhd,4842,False,False,True,False,"{""i do not have this condition"": 4268, ""unspecified"": 197, ""diagnosed by a medical professional (doctor, physician assistant)"": 181, ""self-diagnosed"": 158, ""diagnosed by an alternative medicine practitioner"": 18}"
PRJEB11419,alzheimers,2353,False,False,True,False,"{""i do not have this condition"": 2270, ""unspecified"": 60, ""not provided"": 14, ""diagnosed by a medical professional (doctor, physician assistant)"": 5, ""not collected"": 3}"
PRJEB11419,asd,4842,False,False,True,False,"{""i do not have this condition"": 4505, ""unspecified"": 183, ""diagnosed by a medical professional (doctor, physician assistant)"": 79, ""self-diagnosed"": 50, ""not provided"": 17}"
PRJEB11419,autoimmune,4842,False,False,True,False,"{""i do not have this condition"": 3947, ""diagnosed by a medical professional (doctor, physician assistant)"": 621, ""unspecified"": 187, ""self-diagnosed"": 49, ""diagnosed by an alternative medicine practitioner"": 18}"
PRJEB11419,cancer,3147,False,False,True,False,"{""i do not have this condition"": 2768, ""diagnosed by a medical professional (doctor, physician assistant)"": 226, ""unspecified"": 131, ""not provided"": 19, ""not collected"": 3}"
PRJEB11419,cardiovascular_disease,3992,True,False,True,False,"{""i do not have this condition"": 3703, ""unspecified"": 154, ""diagnosed by a medical professional (doctor, physician assistant)"": 107, ""not provided"": 17, ""self-diagnosed"": 6}"
PRJEB11419,cdiff,4408,False,False,True,False,"{""i do not have this condition"": 4072, ""unspecified"": 220, ""diagnosed by a medical professional (doctor, physician assistant)"": 75, ""not provided"": 17, ""self-diagnosed"": 13}"
PRJEB11419,clinical condition,4840,True,False,True,False,"{""i do not have this condition"": 3652, ""diagnosed by a medical professional (doctor, physician assistant)"": 813, ""unspecified"": 310, ""self-diagnosed"": 32, ""not provided"": 17}"
