project,tag,bucket,controls,cases,study_n,n_distinct_values_after_null,top_values,note
PRJDB10485,ART_status_at_baseline,NEEDS_REVIEW,,,,3,"{""control"": 55, ""art"": 51, ""naive"": 3}",
PRJDB10485,Marital_status,NEEDS_REVIEW,,,,4,"{""married"": 42, ""single"": 41, ""widowed"": 15, ""divorced"": 9}",
PRJDB10485,host_disease,NEEDS_REVIEW,,,,2,"{""hiv-1 negative"": 55, ""hiv-1 positive"": 54}",
PRJDB5678,host_disease,NEEDS_REVIEW,,,,7,"{""hyperlipidemia"": 15, ""hypertension"": 13, ""gout"": 9, ""hypertension, prostatic hypertrophy"": 6, ""schizophrenia"": 3}",
PRJDB8027,gastrointest_disord,NEEDS_REVIEW,,,,4,"{""cholecystectomy"": 4, ""appendectomy"": 2, ""right hemicolectomy"": 1, ""distal gastrectomy"": 1}",
PRJEB11419,acid_reflux,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3635, ""diagnosed by a medical professional (doctor, physician assistant)"": 748, ""unspecified"": 218, ""self-diagnosed"": 204, ""diagnosed by an alternative medicine practitioner"": 13}",
PRJEB11419,add_adhd,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 4268, ""unspecified"": 197, ""diagnosed by a medical professional (doctor, physician assistant)"": 181, ""self-diagnosed"": 158, ""diagnosed by an alternative medicine practitioner"": 18}",
PRJEB11419,alzheimers,NEEDS_REVIEW,,,,4,"{""i do not have this condition"": 2270, ""unspecified"": 60, ""diagnosed by a medical professional (doctor, physician assistant)"": 5, ""self-diagnosed"": 1}",
PRJEB11419,asd,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 4505, ""unspecified"": 183, ""diagnosed by a medical professional (doctor, physician assistant)"": 79, ""self-diagnosed"": 50, ""diagnosed by an alternative medicine practitioner"": 5}",
PRJEB11419,autoimmune,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3947, ""diagnosed by a medical professional (doctor, physician assistant)"": 621, ""unspecified"": 187, ""self-diagnosed"": 49, ""diagnosed by an alternative medicine practitioner"": 18}",
PRJEB11419,cancer,NEEDS_REVIEW,,,,3,"{""i do not have this condition"": 2768, ""diagnosed by a medical professional (doctor, physician assistant)"": 226, ""unspecified"": 131}",
PRJEB11419,cardiovascular_disease,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3703, ""unspecified"": 154, ""diagnosed by a medical professional (doctor, physician assistant)"": 107, ""self-diagnosed"": 6, ""diagnosed by an alternative medicine practitioner"": 2}",
