disease_category,model,cv_scheme,fold,auc,balanced_accuracy,n_train,n_test,n_test_pos,test_project
cancer_other,logreg,leave_project_out,0,0.6223214285714287,0.5675324675324676,532,428,308,PRJNA290926
cancer_other,gboost,leave_project_out,0,0.6667748917748918,0.6335497835497835,532,428,308,PRJNA290926
cancer_other,logreg,leave_project_out,1,0.6720029784065524,0.6380172322093395,643,317,238,PRJNA318004
cancer_other,gboost,leave_project_out,1,0.6704074034677162,0.5719338368258696,643,317,238,PRJNA318004
cancer_other,logreg,leave_project_out,2,0.49335548172757476,0.47799003322259137,889,71,28,PRJNA511474
cancer_other,gboost,leave_project_out,2,0.4277408637873754,0.5091362126245847,889,71,28,PRJNA511474
cancer_other,logreg,leave_project_out,3,0.5933241161366778,0.5043452498518665,816,144,83,PRJNA639644
cancer_other,gboost,leave_project_out,3,0.5,0.5,816,144,83,PRJNA639644
cancer_other,logreg,random_kfold,0,0.6505050505050506,0.6204545454545454,768,192,132,
cancer_other,gboost,random_kfold,0,0.7339646464646464,0.5893939393939394,768,192,132,
cancer_other,logreg,random_kfold,1,0.6027777777777777,0.6,768,192,132,
cancer_other,gboost,random_kfold,1,0.7152146464646465,0.5363636363636364,768,192,132,
cancer_other,logreg,random_kfold,2,0.6325866599924915,0.5752721812038544,768,192,131,
cancer_other,gboost,random_kfold,2,0.7014766612438993,0.6072456513577775,768,192,131,
cancer_other,logreg,random_kfold,3,0.6671255162057315,0.6637467150544363,768,192,131,
cancer_other,gboost,random_kfold,3,0.7218120385433613,0.5990489300463021,768,192,131,
cancer_other,logreg,random_kfold,4,0.644725315980478,0.5768364409961206,768,192,131,
cancer_other,gboost,random_kfold,4,0.6784507571017395,0.5750218996370917,768,192,131,
IBD,logreg,leave_project_out,0,0.7462052216150576,0.7249544626593807,507,201,183,PRJEB42155
IBD,gboost,leave_project_out,0,0.8239222829386764,0.7295081967213115,507,201,183,PRJEB42155
IBD,logreg,leave_project_out,1,0.5931776556776556,0.5366300366300366,562,146,104,PRJNA398089
IBD,gboost,leave_project_out,1,0.7087912087912087,0.5615842490842491,562,146,104,PRJNA398089
IBD,logreg,leave_project_out,2,0.7235059760956177,0.65685828116107,387,321,251,PRJNA413199
IBD,gboost,leave_project_out,2,0.7518497438816164,0.5535002845759818,387,321,251,PRJNA413199
IBD,logreg,leave_project_out,3,0.7393483709273183,0.6353383458646616,668,40,19,PRJNA610934
IBD,gboost,leave_project_out,3,0.6365914786967419,0.49749373433583954,668,40,19,PRJNA610934
IBD,logreg,random_kfold,0,0.7630952380952382,0.6261904761904762,566,142,112,
IBD,gboost,random_kfold,0,0.8261904761904761,0.66875,566,142,112,
IBD,logreg,random_kfold,1,0.7398809523809523,0.6895833333333333,566,142,112,
IBD,gboost,random_kfold,1,0.8136904761904762,0.680952380952381,566,142,112,
IBD,logreg,random_kfold,2,0.7512351060738157,0.7163615228131357,566,142,111,
IBD,gboost,random_kfold,2,0.8558558558558559,0.7542865446091253,566,142,111,
IBD,logreg,random_kfold,3,0.7099099099099099,0.6522522522522523,567,141,111,
IBD,gboost,random_kfold,3,0.7561561561561562,0.5927927927927928,567,141,111,
IBD,logreg,random_kfold,4,0.7717717717717718,0.6828828828828828,567,141,111,
IBD,gboost,random_kfold,4,0.8435435435435434,0.6774774774774774,567,141,111,
HIV,logreg,leave_project_out,0,0.5327586206896552,0.5310344827586206,458,49,29,PRJEB4335
HIV,gboost,leave_project_out,0,0.5137931034482759,0.4982758620689655,458,49,29,PRJEB4335
HIV,logreg,leave_project_out,1,0.5205278592375366,0.49450146627565983,215,292,248,PRJNA307231
HIV,gboost,leave_project_out,1,0.5276301319648093,0.5293255131964809,215,292,248,PRJNA307231
HIV,logreg,leave_project_out,2,0.572444831591173,0.5593786295005807,341,166,82,PRJNA589036
HIV,gboost,leave_project_out,2,0.5532810685249708,0.5053716608594657,341,166,82,PRJNA589036
HIV,logreg,random_kfold,0,0.6365740740740741,0.5847222222222223,405,102,72,
HIV,gboost,random_kfold,0,0.6925925925925926,0.6402777777777777,405,102,72,
HIV,logreg,random_kfold,1,0.6351851851851851,0.6319444444444444,405,102,72,
HIV,gboost,random_kfold,1,0.8032407407407407,0.7152777777777778,405,102,72,
HIV,logreg,random_kfold,2,0.6628352490421456,0.6199712643678161,406,101,72,
HIV,gboost,random_kfold,2,0.7921455938697318,0.6546934865900383,406,101,72,
HIV,logreg,random_kfold,3,0.735632183908046,0.7231800766283525,406,101,72,
HIV,gboost,random_kfold,3,0.8706896551724137,0.7962164750957854,406,101,72,
HIV,logreg,random_kfold,4,0.7286384976525822,0.6706572769953052,406,101,71,
HIV,gboost,random_kfold,4,0.7643192488262911,0.7007042253521127,406,101,71,
asthma,logreg,leave_project_out,0,0.6599597585513078,0.6068913480885312,341,127,71,PRJEB15534
asthma,gboost,leave_project_out,0,0.596579476861167,0.5552062374245472,341,127,71,PRJEB15534
asthma,logreg,leave_project_out,1,0.6625,0.628125,396,72,40,PRJEB22676
asthma,gboost,leave_project_out,1,0.609375,0.628125,396,72,40,PRJEB22676
asthma,logreg,leave_project_out,2,0.4411634594116346,0.471245299712453,199,269,137,PRJNA434133
asthma,gboost,leave_project_out,2,0.4321223180712232,0.42833443928334436,199,269,137,PRJNA434133
asthma,logreg,random_kfold,0,0.6095454545454545,0.5900000000000001,374,94,50,
asthma,gboost,random_kfold,0,0.670909090909091,0.5936363636363636,374,94,50,
asthma,logreg,random_kfold,1,0.6290909090909091,0.6268181818181818,374,94,50,
asthma,gboost,random_kfold,1,0.5904545454545455,0.5927272727272728,374,94,50,
asthma,logreg,random_kfold,2,0.5413636363636363,0.5027272727272727,374,94,50,
asthma,gboost,random_kfold,2,0.5986363636363636,0.5713636363636363,374,94,50,
asthma,logreg,random_kfold,3,0.5974025974025975,0.6083024118738405,375,93,49,
asthma,gboost,random_kfold,3,0.6048237476808905,0.6321892393320965,375,93,49,
asthma,logreg,random_kfold,4,0.6122448979591837,0.5855751391465678,375,93,49,
asthma,gboost,random_kfold,4,0.5589053803339518,0.5820964749536178,375,93,49,
NAFLD,logreg,leave_project_out,0,0.5459525258673159,0.4689592209373098,131,84,53,PRJNA246121
NAFLD,gboost,leave_project_out,0,0.7261107729762629,0.6755934266585515,131,84,53,PRJNA246121
NAFLD,logreg,leave_project_out,1,0.7196029776674937,0.5924317617866005,158,57,31,PRJNA382861
NAFLD,gboost,leave_project_out,1,0.6377171215880892,0.5825062034739454,158,57,31,PRJNA382861
NAFLD,logreg,leave_project_out,2,0.6138888888888889,0.5657407407407408,141,74,20,PRJNA480711
NAFLD,gboost,leave_project_out,2,0.6537037037037037,0.6074074074074074,141,74,20,PRJNA480711
NAFLD,logreg,random_kfold,0,0.8203463203463204,0.6958874458874459,172,43,21,
NAFLD,gboost,random_kfold,0,0.7532467532467532,0.6493506493506493,172,43,21,
NAFLD,logreg,random_kfold,1,0.7835497835497836,0.7445887445887446,172,43,21,
NAFLD,gboost,random_kfold,1,0.7683982683982684,0.6504329004329004,172,43,21,
NAFLD,logreg,random_kfold,2,0.7532467532467532,0.6742424242424242,172,43,21,
NAFLD,gboost,random_kfold,2,0.8138528138528138,0.7413419913419914,172,43,21,
NAFLD,logreg,random_kfold,3,0.7748917748917749,0.724025974025974,172,43,21,
NAFLD,gboost,random_kfold,3,0.7662337662337662,0.6764069264069263,172,43,21,
NAFLD,logreg,random_kfold,4,0.6717391304347826,0.5141304347826088,172,43,20,
NAFLD,gboost,random_kfold,4,0.6826086956521739,0.6793478260869565,172,43,20,
T1D,logreg,leave_project_out,0,0.46811594202898554,0.48816425120772944,132,91,45,PRJNA311147
T1D,gboost,leave_project_out,0,0.4647342995169082,0.3869565217391304,132,91,45,PRJNA311147
T1D,logreg,leave_project_out,1,0.3341204250295159,0.43896103896103894,91,132,55,PRJNA445932
T1D,gboost,leave_project_out,1,0.4944510035419127,0.4922077922077922,91,132,55,PRJNA445932
T1D,logreg,random_kfold,0,0.514,0.47,178,45,20,
T1D,gboost,random_kfold,0,0.46799999999999997,0.435,178,45,20,
T1D,logreg,random_kfold,1,0.524,0.47,178,45,20,
T1D,gboost,random_kfold,1,0.526,0.435,178,45,20,
T1D,logreg,random_kfold,2,0.756,0.71,178,45,20,
T1D,gboost,random_kfold,2,0.6819999999999999,0.6000000000000001,178,45,20,
T1D,logreg,random_kfold,3,0.7250000000000001,0.6416666666666666,179,44,20,
T1D,gboost,random_kfold,3,0.6270833333333333,0.525,179,44,20,
T1D,logreg,random_kfold,4,0.55,0.5416666666666667,179,44,20,
T1D,gboost,random_kfold,4,0.59375,0.5791666666666667,179,44,20,
