disease_category,taxon,genus,meta_effect,meta_p,meta_q,k_projects,I2,pooled_effect,pooled_p,pooled_q,concordance_class,sign_agree,pooled_method
HIV,Archaea.Methanobacteriota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter,Methanobrevibacter,-0.07969779690949541,0.8339477146182845,0.9584983473210154,3.0,71.6705326135109,-0.38565019756211893,0.07388955065581417,0.18393028551730647,ns,True,combat_ols
HIV,Archaea.Methanobacteriota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera,,,,,,,-0.19641104242699522,0.2108434568706536,0.3983131965271713,ns,False,combat_ols
HIV,Bacteria.Actinomycetota.Actinobacteria.Actinomycetales.Actinomycetaceae.Schaalia,Schaalia,0.5057489455013963,0.08150141085559519,0.3508285440400437,2.0,21.703669765457416,0.2906044771783132,0.020384904088051874,0.07705493745283609,ns,True,combat_ols
HIV,Bacteria.Actinomycetota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium,Bifidobacterium,0.07400825763852996,0.8042266650599141,0.9412604332207266,3.0,0.0,-0.026961352736237246,0.9302526485755162,0.9491523345285591,ns,False,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Incertae Sedis,Incertae Sedis,0.2721324570580484,0.5692810387225526,0.8126027730152566,2.0,67.9074226677503,0.15408521597240277,0.43066984458639346,0.598504416373738,ns,True,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Parolsenella,Parolsenella,0.4374374564374734,0.4510431866053851,0.7988389005546103,2.0,78.57369408794554,0.029518707278290198,0.8848005220463769,0.9205698283035384,ns,True,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Tractidigestivibacter,Tractidigestivibacter,-0.24079190539174758,0.6240219990529423,0.8507726981297069,3.0,88.0308704846894,-0.6898829361850732,0.0009335314846327658,0.011050228794075514,pooling_only,True,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella,Collinsella,-0.031436368761449555,0.9330317875342615,0.9728153676759603,3.0,61.70029764339142,-0.30965930400994274,0.22971273856233632,0.41532686810337316,ns,True,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Coriobacteriales Incertae Sedis.Incertae Sedis,Incertae Sedis,-0.4318738031115933,0.29747849634711365,0.6838142058888197,2.0,74.83902518581753,0.12002199191218763,0.4840147683378855,0.6534199372561454,ns,False,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia,Adlercreutzia,-0.09601835766211118,0.8083140443477426,0.9412604332207266,3.0,76.99628562352866,-0.4737530277413101,0.012260829081608833,0.052744235858676373,ns,True,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Asaccharobacter,Asaccharobacter,-0.34014450469080254,0.5617292171433569,0.8126027730152566,2.0,84.149194561417,0.03848480631987053,0.8286668025123667,0.8850986680279804,ns,False,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Eggerthella,Eggerthella,0.4104666234198035,0.6947879730996591,0.8660385298495751,2.0,94.97465545005235,0.6093759901139539,0.00011347836627183955,0.0035745685375629457,pooling_only,True,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Incertae Sedis,Incertae Sedis,-0.5403647212425783,0.02634130150879329,0.1864964146822565,3.0,35.7230797670407,-0.7356751173508116,0.0005179741096414166,0.007893590744389618,pooling_only,True,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.NA,,,,,,,0.10687971399549943,0.3911750756004593,0.5623373251511322,ns,False,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Senegalimassilia,Senegalimassilia,-0.2956018493288947,0.5683492284736191,0.8126027730152566,3.0,84.94369705224565,-0.6220950290258935,0.0033757542923046877,0.02200060556019262,pooling_only,True,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Slackia,Slackia,-0.6705669643888046,0.2430784077680923,0.6167697480388026,3.0,89.06854417526476,-0.9960329245390898,2.831267389973789e-06,0.0005351095367050462,pooling_only,True,combat_ols
HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Incertae Sedis.Incertae Sedis,,,,,,,-0.08829553856997414,0.5705035554807865,0.7385285752456756,ns,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Acholeplasmatales.Acholeplasmataceae.Anaeroplasma,Anaeroplasma,-0.3157784927943352,0.04320281952679303,0.2525725501080082,2.0,0.0,-0.3207252638967012,0.11080161488631121,0.2482198492052732,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Asteroleplasma,Asteroleplasma,0.027810985961715443,0.8505954430361311,0.9589515504292688,2.0,0.0,-0.0003689652483752789,0.9986544932520671,0.9986544932520671,ns,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Catenibacterium,Catenibacterium,0.8023777130905962,0.6392811799505707,0.8507726981297069,3.0,96.2950434614544,-1.1597332498717383,0.0003446567136583396,0.007237790986825132,pooling_only,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelotrichaceae UCG-003,Erysipelotrichaceae UCG-003,-0.5492171581612239,0.5506857079326901,0.8126027730152566,3.0,89.81377917994807,0.4529868217893982,0.11163326551559906,0.2482198492052732,ns,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Massiliomicrobiota,Massiliomicrobiota,0.1670200512536212,0.6808999534348616,0.8600057325197685,2.0,80.16291723589124,0.2809331970031207,0.031695821615542186,0.10153407263283853,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Thomasclavelia,Thomasclavelia,-0.8010883786645827,0.605207686853205,0.8368887544766975,2.0,97.0426104875938,0.5385837179595865,0.002737199810778411,0.020556485772657295,pooling_only,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.UCG-004,UCG-004,0.17408027455030847,0.8427702405782633,0.9589515504292688,2.0,86.40377167404066,-0.05760704874152489,0.7861199266024499,0.8850986680279804,ns,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Catenisphaera,Catenisphaera,0.41696046368424244,0.1830494960494834,0.5509545417145041,3.0,55.21812887852605,0.11860452348230863,0.6136854992702278,0.7784332843092151,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Dielma,Dielma,0.11804912224500272,0.7284663287252492,0.8892313116163386,2.0,87.833785495632,,,,ns,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Erysipelotrichaceae UCG-006,Erysipelotrichaceae UCG-006,0.15394716343620748,0.5185960441853287,0.8126027730152566,2.0,39.53173736328731,-0.03319352620151498,0.8017262137229265,0.8850986680279804,ns,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemanella,Holdemanella,0.10446782790430854,0.9262656076212528,0.9728153676759603,3.0,92.15716110120263,-1.121814597336998,0.0004934168058526366,0.007893590744389618,pooling_only,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemania,Holdemania,0.04989322971813556,0.9168519265477151,0.9728153676759603,2.0,80.79354420454263,0.3112589512040633,0.012558151394922945,0.052744235858676373,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Solobacterium,Solobacterium,0.35052981628790203,0.5562878398185558,0.8126027730152566,3.0,83.61834068509906,-0.23288670410261156,0.3397975445831376,0.5221279343594554,ns,False,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Turicibacter,Turicibacter,-0.27941975618631737,0.1836515139048347,0.5509545417145041,3.0,0.0,-0.25068415994351456,0.23073714894631844,0.41532686810337316,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.[Clostridium] innocuum group,[Clostridium] innocuum group,0.5029140274686669,0.03413770098352339,0.2237915953364311,2.0,0.0,0.39536807257610945,0.004817919989606686,0.028455839938614492,pooling_only,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Izemoplasmatales.Incertae Sedis.Incertae Sedis,Incertae Sedis,-0.34330021671425354,0.34603127478616535,0.7316346344121112,2.0,67.3190200588793,-0.2579346903200609,0.213466515363085,0.3983131965271713,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Lactobacillales.Carnobacteriaceae.Granulicatella,Granulicatella,0.5507456115186219,0.21135378412156014,0.5755326121464023,2.0,60.31754380763709,0.02864542502414653,0.8230560241713678,0.8850986680279804,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus,Lactobacillus,0.13814012048437582,0.6389891156694569,0.8507726981297069,2.0,0.0,0.2791034756366757,0.16008918960613783,0.33618729817288945,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus,Ligilactobacillus,0.2187086937938934,0.4009350977074454,0.754952258449126,2.0,0.0,0.2161095146680938,0.3681467426217767,0.5478719240591795,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus,Lactococcus,0.132186089194423,0.6580850565821987,0.8576032040054947,2.0,61.646492938152356,0.28430878153105227,0.04238256671999024,0.1291984695173896,ns,True,combat_ols
