analysis,disease_category,taxon,genus,k_projects,pooled_effect,se,ci_low,ci_high,z,p,Q,I2,tau2,n_case,n_control,sign_consistency,q
meta,HIV,Archaea.Methanobacteriota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter,Methanobrevibacter,3,-0.07969779690949541,0.3801628388304023,-0.8248169610170839,0.6654213671980931,-0.2096412083692643,0.8339477146182845,7.059786803312232,71.6705326135109,0.30662717841182174,359,148,0.6666666666666666,0.9584983473210154
meta,HIV,Bacteria.Actinomycetota.Actinobacteria.Actinomycetales.Actinomycetaceae.Schaalia,Schaalia,2,0.5057489455013963,0.2903199056622815,-0.06327806959667548,1.074775960599468,1.7420401964780035,0.08150141085559519,1.2771990679568561,21.703669765457416,0.044374091798899486,111,104,1.0,0.3508285440400437
meta,HIV,Bacteria.Actinomycetota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium,Bifidobacterium,3,0.07400825763852996,0.2985639426028159,-0.5111770698629892,0.659193585140049,0.24788076213538038,0.8042266650599141,0.9864344389921071,0.0,0.0,359,148,0.6666666666666666,0.9412604332207266
meta,HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Incertae Sedis,Incertae Sedis,2,0.2721324570580484,0.478171420906814,-0.665083527919307,1.209348442035404,0.5691106686007517,0.5692810387225526,3.1159853247283564,67.9074226677503,0.31566865034524283,111,104,0.5,0.8126027730152566
meta,HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Parolsenella,Parolsenella,2,0.4374374564374734,0.5804044006833823,-0.7001551689019558,1.5750300817769027,0.7536770154092972,0.4510431866053851,4.6671600979868355,78.57369408794554,0.5321452269427691,111,104,0.5,0.7988389005546103
meta,HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Tractidigestivibacter,Tractidigestivibacter,3,-0.24079190539174758,0.4912535067861954,-1.2036487786926906,0.7220649679091954,-0.4901581404823348,0.6240219990529423,16.70965292372893,88.0308704846894,0.628029033816,359,148,0.6666666666666666,0.8507726981297069
meta,HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella,Collinsella,3,-0.031436368761449555,0.37410443995602705,-0.7646810710752625,0.7018083335523635,-0.08403099617086782,0.9330317875342615,5.221972696753612,61.70029764339142,0.25872362290198253,359,148,0.3333333333333333,0.9728153676759603
meta,HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Coriobacteriales Incertae Sedis.Incertae Sedis,Incertae Sedis,2,-0.4318738031115933,0.41452355009441416,-1.244339961296645,0.38059235507345845,-1.0418558921760352,0.29747849634711365,3.974408811205243,74.83902518581753,0.2592770137908301,111,104,0.5,0.6838142058888197
meta,HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia,Adlercreutzia,3,-0.09601835766211118,0.39578617394153714,-0.871759258587524,0.6797225432633016,-0.2426015964779365,0.8083140443477426,8.694248099540133,76.99628562352866,0.3572636245604976,359,148,0.6666666666666666,0.9412604332207266
meta,HIV,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Asaccharobacter,Asaccharobacter,2,-0.34014450469080254,0.5861781635188966,-1.4890537051878399,0.8087646958062349,-0.5802749502794082,0.5617292171433569,6.308827673613768,84.149194561417,0.5804475155678795,111,104,0.5,0.8126027730152566
