analysis,disease_category,project,taxon,genus,n_case,n_control,effect,se,stat,p,q,wilcoxon_p,rank_biserial,covariates,n_taxa_tested
within_project,cancer_other,PRJNA290926,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella,Collinsella,308,120,0.8137763726221952,0.39405036047302483,2.0651583001861082,0.03951532138276259,0.6089891132946301,0.298730632185944,0.06466450216450226,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia,Adlercreutzia,308,120,-0.31155123242158955,0.2610359075688148,-1.1935186822504786,0.23333366603008637,0.7538057291439536,0.09528879822764247,-0.10378787878787876,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Senegalimassilia,Senegalimassilia,308,120,-0.19906173398449778,0.23020746765038352,-0.8647058065327975,0.3876892258231859,0.812917891595562,0.04044498019764538,-0.12748917748917754,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemanella,Holdemanella,308,120,-0.2610569883233039,0.29770337342329295,-0.8769030237091637,0.3810358762103502,0.812917891595562,0.0966780962362275,-0.10335497835497831,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus,Streptococcus,308,120,-0.041398971045272355,0.26135981036042755,-0.15839838186361252,0.8742183020855885,0.9793626722109556,0.6676889023614146,-0.026731601731601717,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Bacilli.RF39.Incertae Sedis.Incertae Sedis,Incertae Sedis,308,120,0.09301335326515238,0.3317829032078498,0.2803440212435628,0.7793503091441867,0.9501590096445363,0.7465531011874847,0.02012987012987022,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Christensenellales.Christensenellaceae.Christensenellaceae R-7 group,Christensenellaceae R-7 group,308,120,0.25925439210059703,0.301495680454496,0.8598942170905353,0.3903332845683132,0.812917891595562,0.673395539247654,0.026244588744588793,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Clostridia UCG-014.Incertae Sedis.Incertae Sedis,Incertae Sedis,308,120,0.2302791819669826,0.36701038604440056,0.6274459544562416,0.530704696687875,0.8759499029340361,0.5521020833527724,0.03701298701298694,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Clostridiales.Clostridiaceae.Clostridium,Clostridium,308,120,0.16984771340671423,0.3039929105449957,0.5587226133077011,0.5766459922031637,0.901312223107466,0.41623441960066987,0.05059523809523814,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Agathobacter,Agathobacter,308,120,-0.061889295741953135,0.2525170772030601,-0.24508954573470382,0.8065056729337576,0.9501590096445363,0.383613110845488,-0.05422077922077917,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Blautia,Blautia,308,120,-0.010743126004640398,0.1382272430068804,-0.0777207572902662,0.9380868449562477,0.9793626722109556,0.19988602467994132,-0.07976190476190481,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Coprococcus,Coprococcus,308,120,0.37264606974984615,0.27055999209598625,1.3773140177267706,0.1691418146202117,0.7316366864967296,0.8078876661031739,0.015151515151515138,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Dorea,Dorea,308,120,0.17550907665315246,0.24716542405873937,0.710087494323002,0.4780402282017264,0.8375074694378458,0.7093158834956139,-0.023214285714285743,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Howardella,Howardella,308,120,0.3363048268382762,0.20246336014583183,1.661065126035842,0.09743957895383117,0.6089891132946301,0.8944560342205838,0.00827922077922083,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae NK4A136 group,Lachnospiraceae NK4A136 group,308,120,-0.0934953230914658,0.24735554192186113,-0.3779794960931204,0.7056349778746979,0.9501590096445363,0.17515568489024336,-0.08436147186147192,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae UCG-003,Lachnospiraceae UCG-003,308,120,-0.166301390010797,0.1446460667663325,-1.1497124929048188,0.2509103856731398,0.7538057291439536,0.005843301277907884,-0.17148268398268396,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Mediterraneibacter,Mediterraneibacter,308,120,0.04732599661080421,0.1713170748797393,0.2762479842947703,0.7824922042941382,0.9501590096445363,0.6689553989851404,-0.02662337662337666,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Roseburia,Roseburia,308,120,0.17879475350058113,0.23329220054644673,0.7663983325708501,0.44386579859029485,0.8375074694378458,0.5667365635670949,-0.035660173160173114,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] eligens group,[Eubacterium] eligens group,308,120,0.10027619065153191,0.30043508281031683,0.3337699103364784,0.7387181974784773,0.9501590096445363,0.8390302024488892,0.012662337662337597,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] ruminantium group,[Eubacterium] ruminantium group,308,120,0.06882904220698949,0.2769649149566795,0.24851177347771697,0.8038587829142593,0.9501590096445363,0.49769010486865206,-0.04220779220779225,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.NA.NA.NA,Clostridia,308,120,0.02948530257542194,0.24991709801036266,0.11798033351923505,0.9061391101504841,0.9793626722109556,0.8903292381003933,0.008603896103896114,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.Colidextribacter,Colidextribacter,308,120,0.2824418131973576,0.23508955300929163,1.2014222222209698,0.2302581130635075,0.7538057291439536,0.364905959496708,0.05638528138528143,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.UCG-002,UCG-002,308,120,0.5926291510363202,0.29905227406099577,1.9816908361494199,0.0481592420361839,0.6089891132946301,0.2051241318136362,0.07884199134199132,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.CAG-352,CAG-352,308,120,0.4796092295379551,0.3754129583397641,1.277551077775768,0.20210682049078688,0.7433593266700123,0.43493002421643434,0.04859307359307352,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Faecalibacterium,Faecalibacterium,308,120,0.0035731761141128433,0.2043608165254465,0.01748464394918837,0.9860582078172813,0.9916162679985949,0.10953663665625703,-0.09956709956709953,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Gemmiger,Gemmiger,308,120,0.12611396321355461,0.2800381952344919,0.45034557913770373,0.6526914576974664,0.9501590096445363,0.5439886229335144,-0.03777056277056279,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.NA,Ruminococcaceae,308,120,0.3511704016449258,0.27592696934722616,1.2726932871973577,0.20382433150629367,0.7433593266700123,0.677847090850044,0.025865800865800814,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Ruminococcus,Ruminococcus,308,120,0.48712784085728755,0.27994246039701626,1.7400998768334022,0.0825670370166664,0.6089891132946301,0.10972967665719237,0.09951298701298694,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.[Eubacterium] siraeum group,[Eubacterium] siraeum group,308,120,-0.1266785482045309,0.30153728255965495,-0.4201090728456416,0.6746185850000639,0.9501590096445363,0.9144405205944413,-0.006709956709956666,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Oscillospirales.UCG-010.Incertae Sedis,Incertae Sedis,308,120,-0.017575052955940564,0.27156891438366015,-0.06471673312031337,0.948430040198799,0.9793626722109556,0.675301957683334,0.02608225108225115,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Romboutsia,Romboutsia,308,120,-0.04108791329969468,0.29835558260383216,-0.1377145784942552,0.8905313712265323,0.9793626722109556,0.2586302652428796,-0.0702922077922078,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.NA.NA.NA.NA,Bacteria.Bacillota.NA.NA.NA.NA,308,120,-0.013987530316968684,0.21877971702145624,-0.06393431030718855,0.9490526627760942,0.9793626722109556,0.9649580916378103,0.002759740259740351,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacillota.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium,Phascolarctobacterium,308,120,0.5952972709248274,0.3504532240706414,1.6986497199547306,0.09011879460840039,0.6089891132946301,0.11706302684235848,0.09751082251082255,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides,Bacteroides,308,120,-0.1366727960341417,0.1773296523376665,-0.7707272541982596,0.44129786315735975,0.8375074694378458,0.9047852895113376,-0.007467532467532512,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Incertae Sedis,Incertae Sedis,308,120,0.33867918631847943,0.2154196261928712,1.5721835206196604,0.11665388285086345,0.6089891132946301,0.49713872501030065,-0.04226190476190472,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Segatella,Segatella,308,120,0.47367839722386107,0.33364523248465,1.419706775656246,0.1564278607452269,0.7257543963463345,0.6670560084896762,-0.0267857142857143,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes,Alistipes,308,120,0.45854557825996717,0.26366459156514455,1.7391246034895538,0.08273861361783019,0.6089891132946301,0.014660681583638964,0.15183982683982689,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides,Parabacteroides,308,120,0.5094062790426227,0.31634690981287417,1.610277398770695,0.10808149738974004,0.6089891132946301,0.08119020037643107,0.10849567099567103,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.NA.NA.NA.NA.NA,Bacteria.NA.NA.NA.NA.NA,308,120,-0.11597332899032069,0.08305947459959331,-1.3962685118030898,0.16336420292490378,0.7257543963463345,0.023517361663225756,-0.14090909090909087,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Oxalobacteraceae.Oxalobacter,Oxalobacter,308,120,-0.011373244408011154,0.15375626523182914,-0.07396930714246286,0.9410696910619021,0.9793626722109556,0.06843717093375497,-0.11336580086580084,"age_years,sex",186
within_project,cancer_other,PRJNA290926,Bacteria.Pseudomonadota.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Klebsiella,Klebsiella,308,120,0.22431438421497768,0.23292654015625106,0.9630263003284375,0.33608322385931266,0.812917891595562,0.7763798886536943,-0.017694805194805152,"age_years,sex",186
