sample,true_study,predicted_study,correct,true_in_top5
PRJNA726866_SRR14413639,PRJNA726866,PRJNA726866,True,True
PRJNA545312_SRR11422219,PRJNA545312,PRJNA545312,True,True
PRJNA481243_SRR7547068,PRJNA481243,PRJNA481243,True,True
PRJNA609319_SRR11207540,PRJNA609319,PRJNA609319,True,True
PRJNA345390_SRR4343642,PRJNA345390,PRJNA345390,True,True
PRJNA421286_SRR6368943,PRJNA421286,PRJNA421286,True,True
PRJNA725388_SRR14331990,PRJNA725388,PRJNA725388,True,True
PRJNA485316_SRR7735710,PRJNA485316,PRJNA485316,True,True
PRJDB10485_DRR243841,PRJDB10485,PRJEB6358,False,True
PRJNA279828_SRR2914145,PRJNA279828,PRJNA279828,True,True
PRJNA378749_SRR5343103,PRJNA378749,PRJNA378749,True,True
PRJNA645223_SRR12203909,PRJNA645223,PRJNA605031,False,False
PRJNA560950_SRR10022167,PRJNA560950,PRJNA560950,True,True
PRJNA605031_SRR11030804,PRJNA605031,PRJNA605031,True,True
PRJNA685746_SRR14446119,PRJNA685746,PRJNA685746,True,True
PRJNA554232_SRR9683099,PRJNA554232,PRJNA481243,False,True
PRJNA430990_SRR6498289,PRJNA430990,PRJNA430990,True,True
PRJNA685746_SRR14435861,PRJNA685746,PRJNA685746,True,True
PRJEB6358_ERR579656,PRJEB6358,PRJEB6358,True,True
PRJNA548153_SRR9268329,PRJNA548153,PRJNA548153,True,True
PRJNA427170_SRR6056230,PRJNA427170,PRJNA427170,True,True
PRJEB38948_ERR4347383,PRJEB38948,PRJEB38948,True,True
PRJNA552448_SRR9639990,PRJNA552448,PRJNA552448,True,True
PRJNA607574_SRR11116759,PRJNA607574,PRJNA607574,True,True
PRJEB16344_ERR1918484,PRJEB16344,PRJEB16344,True,True
PRJNA396815_SRR6867624,PRJNA396815,PRJNA396815,True,True
PRJEB29433_ERR3388345,PRJEB29433,PRJEB29433,True,True
PRJNA685746_SRR14428022,PRJNA685746,PRJNA685746,True,True
PRJNA390646_SRR5687954,PRJNA390646,PRJNA390646,True,True
PRJNA392012_SRR5760975,PRJNA392012,PRJNA392012,True,True
PRJNA517572_SRR8500977,PRJNA517572,PRJNA605031,False,True
PRJNA644788_SRR12171371,PRJNA644788,PRJNA414072,False,True
PRJEB33905_ERR3471414,PRJEB33905,PRJEB33905,True,True
PRJEB32244_ERR3327159,PRJEB32244,PRJEB32244,True,True
PRJEB27068_ERR3018299,PRJEB27068,PRJEB5482,False,True
PRJNA510835_SRR8356372,PRJNA510835,PRJNA510835,True,True
PRJNA548153_SRR9267680,PRJNA548153,PRJNA548153,True,True
