model,fold,accuracy,balanced_accuracy,top5_accuracy,n_train,n_test
linear,0,0.7584422305602277,0.6810504665893982,0.9384137663345841,30916,7729
mlp,0,0.7469271574589209,0.6381539258454539,0.9416483374304567,30916,7729
linear,1,0.7501617285547937,0.6783673382877499,0.9358261094578859,30916,7729
mlp,1,0.7407167809548454,0.6439414489487105,0.9416483374304567,30916,7729
linear,2,0.7576659334972182,0.6819315595822703,0.9389312977099237,30916,7729
mlp,2,0.7431750549877086,0.6434704249554034,0.9393194462414284,30916,7729
linear,3,0.7620649501876051,0.6974285388402705,0.939836977616768,30916,7729
mlp,3,0.7418812265493595,0.6500050743393193,0.9426834001811359,30916,7729
linear,4,0.7598654418424117,0.6792254988664322,0.9369905550524,30916,7729
mlp,4,0.7377409755466425,0.6392506316790055,0.9367317893647302,30916,7729
