project,n_samples,amplicon,kit_family,instrument,region,n_controls,n_cases
PRJDB10485,109,v3-v4,other_or_unspecified,Illumina MiSeq,Sub-Saharan Africa,0,0
PRJDB10527,91,v3-v4,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB10528,314,v3-v4,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB10612,72,v3-v4,other_or_unspecified,Illumina MiSeq,unknown,0,0
PRJDB11894,219,v1-v2,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB4360,71,v3-v4,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB5316,243,v1-v2,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB5564,120,v3-v4,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB5678,95,v3-v4,other_or_unspecified,Illumina MiSeq,unknown,0,0
PRJDB8027,15,v1-v2,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB8511,114,v1-v2,manual_extraction,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB9239,120,v1-v2,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB9469,1003,v1-v2,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB9705,50,v1-v2,other_or_unspecified,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJDB9936,347,v1-v2,manual_extraction,Illumina MiSeq,Eastern and South-Eastern Asia,0,0
PRJEB10326,60,v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJEB11419,4549,v4,other_or_unspecified,Illumina MiSeq,Europe and Northern America,4231,148
PRJEB13896,479,v4,manual_extraction,Illumina MiSeq,Europe and Northern America,0,0
PRJEB15481,271,unknown,manual_extraction,Illumina MiSeq,Europe and Northern America,0,0
PRJEB15534,127,v4,Qiagen,Illumina MiSeq,Europe and Northern America,56,71
PRJEB16344,454,unknown,MP_Biomedicals,Illumina MiSeq,Europe and Northern America,0,0
PRJEB17608,169,unknown,Qiagen,Illumina MiSeq,unknown,0,0
PRJEB17610,170,v3-v4,Qiagen,Illumina MiSeq,unknown,0,0
PRJEB17613,170,v4,Qiagen,Illumina MiSeq,unknown,0,0
PRJEB17860,93,v4,Qiagen,Illumina MiSeq,Central and Southern Asia,0,0
PRJEB20766,252,v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJEB20773,271,v4,Qiagen,Illumina MiSeq,Central and Southern Asia,0,0
PRJEB21946,293,v4,Qiagen,Illumina MiSeq,Central and Southern Asia,0,0
PRJEB22676,72,v4,Qiagen,Illumina MiSeq,Europe and Northern America,32,40
PRJEB23775,170,v4,Qiagen,Illumina MiSeq,unknown,0,0
PRJEB26012,599,v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJEB27068,3499,unknown,other_or_unspecified,Illumina MiSeq,unknown,0,0
PRJEB27564,260,v3-v4,Stratec,Illumina MiSeq,Europe and Northern America,0,0
PRJEB27662,262,v4,Qiagen,Illumina MiSeq,unknown,0,0
PRJEB27868,504,v4,other_or_unspecified,Illumina MiSeq,Sub-Saharan Africa,0,0
PRJEB27978,50,v4,other_or_unspecified,Illumina MiSeq,Europe and Northern America,0,0
PRJEB28159,912,unknown,other_or_unspecified,Illumina MiSeq,unknown,0,0
PRJEB29433,2944,unknown,other_or_unspecified,Illumina MiSeq,unknown,0,0
PRJEB30292,133,v3,Promega,Illumina MiSeq,unknown,0,0
PRJEB30401,113,v3-v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJEB30495,59,v1-v2,MP_Biomedicals,Illumina MiSeq,unknown,0,0
PRJEB31155,63,v3-v4,Qiagen,Illumina MiSeq,unknown,0,0
PRJEB31354,116,v4,MP_Biomedicals,Illumina MiSeq,unknown,0,0
PRJEB31775,210,unknown,manual_extraction,Illumina HiSeq 2000,unknown,0,0
PRJEB32077,274,v4,Zymo,Illumina MiSeq,Sub-Saharan Africa,0,0
PRJEB32244,110,v3,MP_Biomedicals,Illumina MiSeq,unknown,0,0
PRJEB32537,60,v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJEB32547,267,v4,manual_extraction,Illumina HiSeq 2500,unknown,0,0
PRJEB33065,246,v4,Qiagen,Illumina MiniSeq,Europe and Northern America,0,0
PRJEB33268,288,v4,Macherey_Nagel,Illumina HiSeq 2500,Europe and Northern America,0,0
PRJEB3360,166,unknown,other_or_unspecified,unspecified,Sub-Saharan Africa,0,0
PRJEB33905,890,v3-v4,Qiagen,Illumina MiSeq,unknown,0,0
PRJEB35769,349,v3-v4,manual_extraction,Illumina MiSeq,Europe and Northern America,0,0
PRJEB35994,99,v3-v4,other_or_unspecified,Illumina MiSeq,Europe and Northern America,0,0
PRJEB36316,100,v4,other_or_unspecified,Illumina NovaSeq 6000,Europe and Northern America,0,0
PRJEB36385,196,v3-v4,Roche,Illumina MiSeq,Europe and Northern America,0,0
PRJEB36585,130,v4,Qiagen,Illumina MiSeq,Latin America and the Caribbean,0,0
PRJEB37289,58,v3-v4,manual_extraction,Illumina MiSeq,unknown,0,0
PRJEB37553,558,v3-v4,other_or_unspecified,Illumina MiSeq,Europe and Northern America,0,0
PRJEB37877,642,v4,Qiagen,Illumina MiSeq,Northern Africa and Western Asia,0,0
PRJEB38457,53,v4,other_or_unspecified,Illumina MiSeq,Europe and Northern America,0,0
