distance,analysis,term_order,factor,n,n_groups,df,R2,pseudo_F,p,n_permutations,note
bray_curtis,marginal,,project,7015,341.0,340,0.43382132730784034,15.040583258894564,0.001,999,
bray_curtis,marginal,,amplicon,7015,11.0,10,0.11079654824471166,87.2712563557978,0.001,999,
bray_curtis,marginal,,kit_family,7015,9.0,8,0.04738566319646593,43.56221919097941,0.001,999,
bray_curtis,marginal,,instrument,7015,12.0,11,0.03853497524586261,25.516025941366607,0.001,999,
bray_curtis,marginal,,region,7015,8.0,7,0.04055797891075185,42.31473710477195,0.001,999,
bray_curtis,marginal,,depth_bin,7015,5.0,4,0.004917023674329018,8.659663760986103,0.001,999,
bray_curtis,marginal,,library_source,7015,2.0,1,0.0023296558038128873,16.376026657686253,0.001,999,
bray_curtis,marginal,,bead_beating,7015,3.0,2,0.012087109959033395,42.89589491499983,0.001,999,
aitchison,marginal,,project,7015,341.0,340,0.39419268448035033,12.772659424989405,0.001,999,
aitchison,marginal,,amplicon,7015,11.0,10,0.05862298316606743,43.61646468447498,0.001,999,
aitchison,marginal,,kit_family,7015,9.0,8,0.033863561263028634,30.69547176469877,0.001,999,
aitchison,marginal,,instrument,7015,12.0,11,0.042198342094134846,28.048603633690572,0.001,999,
aitchison,marginal,,region,7015,8.0,7,0.036015462065407566,37.39839811613152,0.001,999,
aitchison,marginal,,depth_bin,7015,5.0,4,0.023330465953690576,41.8633326407252,0.001,999,
aitchison,marginal,,library_source,7015,2.0,1,0.0014363420349887744,10.087555871905392,0.001,999,
aitchison,marginal,,bead_beating,7015,3.0,2,0.006162240111643189,21.738773372676047,0.001,999,
aitchison_labeled,marginal,,project,7001,48.0,47,0.2515006538044842,49.707516404594834,0.001,999,
aitchison_labeled,marginal,,amplicon,7001,5.0,4,0.03215776693253708,58.112709327375356,0.001,999,
aitchison_labeled,marginal,,kit_family,7001,6.0,5,0.03954128763035178,57.59566828060799,0.001,999,
aitchison_labeled,marginal,,instrument,7001,7.0,6,0.06405559228329924,79.77767495869631,0.001,999,
aitchison_labeled,marginal,,region,7001,8.0,7,0.01642179941320619,16.67928142775601,0.001,999,
aitchison_labeled,marginal,,depth_bin,7001,5.0,4,0.024464291104070012,43.86107525417408,0.001,999,
aitchison_labeled,marginal,,library_source,7001,2.0,1,0.010453112493059928,73.93417660405034,0.001,999,
aitchison_labeled,marginal,,bead_beating,7001,3.0,2,0.03523160922051072,127.7771969321736,0.001,999,
aitchison_labeled,marginal,,disease_label,7001,2.0,1,0.009658255878560389,68.25738013700754,0.001,999,
aitchison,sequential:technical_first,1.0,amplicon,7001,,4,0.03215776702373525,68.07331243397806,0.001,999,
aitchison,sequential:technical_first,2.0,kit_family,7001,,5,0.03038822550145672,51.46196046132221,0.001,999,
aitchison,sequential:technical_first,3.0,instrument,7001,,6,0.05344006136507951,75.41655470275599,0.001,999,
aitchison,sequential:technical_first,4.0,region,7001,,7,0.01459287873334407,17.652000216715106,0.001,999,
aitchison,sequential:technical_first,5.0,depth_bin,7001,,4,0.014587849842333182,30.880354948903992,0.001,999,
aitchison,sequential:technical_first,6.0,library_source,7001,,1,0.009314430890838289,78.86917816261764,0.001,999,
aitchison,sequential:technical_first,7.0,bead_beating,7001,,2,0.020781510657738207,87.98286689558452,0.001,999,
aitchison,sequential:technical_first,8.0,disease_label,7001,,1,0.0015819595286037402,13.395112312253147,0.001,999,
aitchison,sequential:technical_first,9.0,Residual,7001,,6970,0.8231553164568711,,,999,
aitchison,sequential:disease_first,1.0,disease_label,7001,,1,0.00965825585115751,81.78048776059256,0.001,999,
aitchison,sequential:disease_first,2.0,amplicon,7001,,4,0.03192953098962096,67.59016996803862,0.001,999,
aitchison,sequential:disease_first,3.0,kit_family,7001,,5,0.026154377226991564,44.29200799110251,0.001,999,
aitchison,sequential:disease_first,4.0,instrument,7001,,6,0.05148246475275568,72.65392329425761,0.001,999,
aitchison,sequential:disease_first,5.0,region,7001,,7,0.013476809329475254,16.301967935973554,0.001,999,
aitchison,sequential:disease_first,6.0,depth_bin,7001,,4,0.014628779274445574,30.966996599671464,0.001,999,
aitchison,sequential:disease_first,7.0,library_source,7001,,1,0.009562373517628809,80.96861198048873,0.001,999,
aitchison,sequential:disease_first,8.0,bead_beating,7001,,2,0.019952092601053666,84.47135227646336,0.001,999,
aitchison,sequential:disease_first,9.0,Residual,7001,,6970,0.8231553164568709,,,999,
aitchison,sequential:project_vs_disease,1.0,project,7001,,47,0.2515006539458972,49.86841079541309,0.001,999,
aitchison,sequential:project_vs_disease,2.0,disease_label,7001,,1,0.0025222459288188575,23.50561926660191,0.001,999,
aitchison,sequential:project_vs_disease,3.0,Residual,7001,,6952,0.745977100125284,,,999,
